Record ID,Case ID,Landlord Name,Landlord Type,Decision Date,Category,Complaint Description,Finding Outcome,Source Decision ID
350,202424061,Peabody Trust,Housing Association,23 February 2026,Leaks & Water Ingress,The landlord’s response to the resident’s reports of loud noises from the water pump and the pipes,Service Failure,160
351,202424061,Peabody Trust,Housing Association,23 February 2026,Complaint Handling,The landlord’s response to the resident’s reports of damage to her floor coverings,No Maladministration,160
352,202424061,Peabody Trust,Housing Association,23 February 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,160
353,202422458,Places for People Group Limited,Housing Association,23 February 2026,Repairs & Maintenance,Reports of multiple repair s from the start of the tenancy,Service Failure,161
354,202422458,Places for People Group Limited,Housing Association,23 February 2026,Other,,Service Failure,161
355,202423720,Richmond Housing Partnership Limited,Housing Association,23 February 2026,Repairs & Maintenance,Handling of window repairs,Maladministration,162
356,202423720,Richmond Housing Partnership Limited,Housing Association,23 February 2026,Damp & Mould,Handling of damp and mould,Maladministration,162
357,202423720,Richmond Housing Partnership Limited,Housing Association,23 February 2026,Complaint Handling,Complaint handling,Reasonable Redress,162
358,202501446,Richmond Housing Partnership Limited,Housing,23 February 2026,Estate Management,H ow the landlord dealt with reports of pests and its communication about r ubbish in communal areas,Reasonable Redress,163
359,202501446,Richmond Housing Partnership Limited,Housing,23 February 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,163
360,202342829,Sandbourne Housing Association,Housing Association,23 February 2026,Other,The behaviour of a staff member,Service Failure,164
361,202342829,Sandbourne Housing Association,Housing Association,23 February 2026,Complaint Handling,The landlord’s handling of guttering repairs,Maladministration,164
362,202342829,Sandbourne Housing Association,Housing Association,23 February 2026,Complaint Handling,The handling of the complaint,No Maladministration,164
363,202518113,Southern Housing,Housing Association,23 February 2026,Damp & Mould,Handling of damp and mould,Reasonable Redress,166
364,202518113,Southern Housing,Housing Association,23 February 2026,Complaint Handling,Complaint handling,Reasonable Redress,166
365,202333410,A2Dominion Housing Group Limited,Housing Association,20 February 2026,Leaks & Water Ingress,The landlord’s handling of the resident’s reported leak,Service Failure,167
366,202333410,A2Dominion Housing Group Limited,Housing Association,20 February 2026,Complaint Handling,The landlord’s complaint handling,Service Failure,167
367,202335067,Basildon Borough Council,Local Authority / ALMO or TMO,20 February 2026,Complaint Handling,T he landlord’s handling of the resident’s report ed remedial works,Maladministration,168
368,202335067,Basildon Borough Council,Local Authority / ALMO or TMO,20 February 2026,Complaint Handling,The landlord’s complaint handling,Maladministration,168
369,202409244,Citizen Housing Group Limited,Housing Association,20 February 2026,Anti-Social Behaviour (ASB),Resident’s reports of ASB,No Maladministration,169
370,202409244,Citizen Housing Group Limited,Housing Association,20 February 2026,Complaint Handling,The handling of the complaint,No Maladministration,169
371,202420305,Freebridge Community Housing Limited,Housing Association,19 February 2026,Other,Reports o f repairs,Reasonable Redress,170
372,202420305,Freebridge Community Housing Limited,Housing Association,19 February 2026,Other,R equest for a kitchen upgrade,No Maladministration,170
373,202420305,Freebridge Community Housing Limited,Housing Association,19 February 2026,Other,C omplaint,No Maladministration,170
374,202337967,Great Places Housing Association,Housing Association,20 February 2026,Damp & Mould,Handling of the resident’s reports of a leak and damp and mould,Maladministration,171
375,202337967,Great Places Housing Association,Housing Association,20 February 2026,Complaint Handling,The handling of the complaint,No Maladministration,171
376,202334349,London & Quadrant Housing Trust,Housing Association,20 February 2026,Anti-Social Behaviour (ASB),Reports of ASB and request to be rehoused,Reasonable Redress,172
377,202334349,London & Quadrant Housing Trust,Housing Association,20 February 2026,Other,Concerns his vulnerabilities were not taken into consideration,Reasonable Redress,172
378,202334349,London & Quadrant Housing Trust,Housing Association,20 February 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,172
379,202434109,London & Quadrant Housing Trust,Housing Association,20 February 2026,Damp & Mould,The landlord’s handling of the resident’s concerns about a leak and resulting damp,Maladministration,173
380,202434109,London & Quadrant Housing Trust,Housing Association,20 February 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,173
381,202508617,London & Quadrant Housing Trust,Housing Association,20 February 2026,Leaks & Water Ingress,Reports of a leak from the solar panel system,Maladministration,174
382,202508617,London & Quadrant Housing Trust,Housing Association,20 February 2026,Complaint Handling,The handling of the complaint,Maladministration,174
383,202322016,Metropolitan Thames Valley Housing (MTV),Housing Association,20 February 2026,Other,The resident’s c oncerns about service charges,Maladministration,175
384,202322016,Metropolitan Thames Valley Housing (MTV),Housing Association,20 February 2026,Complaint Handling,Handling of the complaint,Maladministration,175
385,202423079,Raven Housing Trust Limited,Housing Association,20 February 2026,Damp & Mould,The landlord’s response to the resident’s reports of damp and mould at the property.,Maladministration,176
386,202423079,Raven Housing Trust Limited,Housing Association,20 February 2026,Complaint Handling,The handling of the complaint,Maladministration,176
387,202342333,A2Dominion Housing Group Limited,Housing Association,19 February 2026,Damp & Mould,The landlord’s handling of reports of damp and mould.,Maladministration,177
388,202342333,A2Dominion Housing Group Limited,Housing Association,19 February 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,177
389,202416470,bpha Limited,Housing Association,19 February 2026,Estate Management,The landlord’s handling of the resident’s request for it to install a rear garden gate.,No Maladministration,178
390,202416470,bpha Limited,Housing Association,19 February 2026,Complaint Handling,The handling of the complaint,Service Failure,178
391,202412543,City of York Council,Local Authority / ALMO or TMO,19 February 2026,Anti-Social Behaviour (ASB),Reports of noise and vibration nuisance,No Maladministration,179
392,202412543,City of York Council,Local Authority / ALMO or TMO,19 February 2026,Other,Request for sound insulation works,No Maladministration,179
393,202412543,City of York Council,Local Authority / ALMO or TMO,19 February 2026,Complaint Handling,The handling of the complaint,Service Failure,179
394,202449617,Curo Places Limited,Housing Association,19 February 2026,Complaint Handling,The handling of the adaptations to the property following planning permission.,Reasonable Redress,180
395,202449617,Curo Places Limited,Housing Association,19 February 2026,Rehousing & Allocations,The request for rehousing as an alternative to major adaptations.,No Maladministration,180
396,202449617,Curo Places Limited,Housing Association,19 February 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,180
397,202520290,Jigsaw Homes Group Limited,Housing Association,19 February 2026,Damp & Mould,The resident’s damp and mould reports,Maladministration,181
398,202520290,Jigsaw Homes Group Limited,Housing Association,19 February 2026,Pest Control,The resident’s r a t infestation reports,Service Failure,181
399,202520290,Jigsaw Homes Group Limited,Housing Association,19 February 2026,Other,The resident’s reports of slugs,No Maladministration,181
400,202520290,Jigsaw Homes Group Limited,Housing Association,19 February 2026,Complaint Handling,The handling of the complaint,Service Failure,181
401,202423640,London & Quadrant Housing Trust,Housing Association,19 February 2026,Pest Control,The handling of pest control and associated proofing works.,Maladministration,182
402,202423640,London & Quadrant Housing Trust,Housing Association,19 February 2026,Complaint Handling,The handling of the complaint,Maladministration,182
403,202516158,London & Quadrant Housing Trust,Housing Association,19 February 2026,Repairs & Maintenance,The landlord’s handling of roof repairs,Severe Maladministration,183
404,202516158,London & Quadrant Housing Trust,Housing Association,19 February 2026,Complaint Handling,The handling of the complaint,Service Failure,183
405,202320005,London Borough of Camden Council,Local Authority / ALMO or TMO,19 February 2026,Anti-Social Behaviour (ASB),T he landlord’s handling of reports of ASB,Service Failure,184
406,202320005,London Borough of Camden Council,Local Authority / ALMO or TMO,19 February 2026,Complaint Handling,The landlord’s complaint handling,Maladministration,184
407,202331345,London Borough of Lambeth,Local Authority / ALMO or TMO,19 February 2026,Damp & Mould,"Response to leak, damp, and mould.",Maladministration,185
408,202331345,London Borough of Lambeth,Local Authority / ALMO or TMO,19 February 2026,Complaint Handling,Complaint handling,Reasonable Redress,185
409,202525203,Newlon Housing Trust,Housing Association,19 February 2026,Damp & Mould,Damp and mould in the cellar,Reasonable Redress,186
410,202525203,Newlon Housing Trust,Housing Association,19 February 2026,Other,Items left in the cellar,No Maladministration,186
411,202525203,Newlon Housing Trust,Housing Association,19 February 2026,Complaint Handling,The handling of the complaint,No Maladministration,186
412,202526041,Nottingham City Council,Housing Association,19 February 2026,Damp & Mould,The resident’s reports of d amp and mould,Service Failure,187
413,202526041,Nottingham City Council,Housing Association,19 February 2026,Complaint Handling,The handling of the complaint,No Maladministration,187
414,202526784,Sovereign Network Group,Housing Association,19 February 2026,Other,Reports of safety concerns.,Service Failure,189
415,202526784,Sovereign Network Group,Housing Association,19 February 2026,Complaint Handling,Complaint handling,No Maladministration,189
416,202424991,Stonewater Limited,Housing Association,19 February 2026,Repairs & Maintenance,The landlord’s response to the resident’s reports concerning grounds maintenance and broken fencing being paid for through service charges,Reasonable Redress,190
417,202424991,Stonewater Limited,Housing Association,19 February 2026,Other,,Reasonable Redress,190
418,202517415,Brighter Places,Housing Association,18 February 2026,Other,The landlord’s decision to disconnect the resident’s gas supply.,No Maladministration,191
419,202517415,Brighter Places,Housing Association,18 February 2026,Other,,Service Failure,191
420,202324653,Clarion Housing Association Limited,Housing Association,18 February 2026,Other,Administration of service charges for major works,No Maladministration,192
421,202324653,Clarion Housing Association Limited,Housing Association,18 February 2026,Complaint Handling,The landlord’s handling of the complaint,Reasonable Redress,192
422,202327699,London Borough of Islington,Local Authority / ALMO or TMO,18 February 2026,Damp & Mould,The landlord’s handling of the resident’s reports of damp and mould,Maladministration,195
423,202327699,London Borough of Islington,Local Authority / ALMO or TMO,18 February 2026,Complaint Handling,The landlord’s handling of the complaint,Service Failure,195
424,202441034,London Borough of Lewisham,Local Authority / ALMO or TMO,18 February 2026,Leaks & Water Ingress,Handling of the resident’s reports of a leak from the flat above.,Maladministration,196
425,202441034,London Borough of Lewisham,Local Authority / ALMO or TMO,18 February 2026,Repairs & Maintenance,Handling of the resident’s reports of outstanding window repairs .,Service Failure,196
426,202441034,London Borough of Lewisham,Local Authority / ALMO or TMO,18 February 2026,Complaint Handling,The handling of the complaint,No Maladministration,196
427,202335229,One Manchester Limited,Housing Association,18 February 2026,Other,The resident’s request to reduce his notice period,Reasonable Redress,198
428,202335229,One Manchester Limited,Housing Association,18 February 2026,Damp & Mould,Damp and mould,Maladministration,198
429,202335229,One Manchester Limited,Housing Association,18 February 2026,Complaint Handling,The handling of the complaint,Maladministration,198
430,202503168,Southwark Council,Local Authority / ALMO or TMO,18 February 2026,Repairs & Maintenance,Reports of no heating,Maladministration,201
431,202503168,Southwark Council,Local Authority / ALMO or TMO,18 February 2026,Repairs & Maintenance,Reports of window repairs,Maladministration,201
432,202503168,Southwark Council,Local Authority / ALMO or TMO,18 February 2026,Complaint Handling,The handling of the complaint,Service Failure,201
433,202323128,Sovereign Network Group,Housing Association,18 February 2026,Anti-Social Behaviour (ASB),The landlord’s response to reports of ASB,Maladministration,202
434,202323128,Sovereign Network Group,Housing Association,18 February 2026,Estate Management,The residents request to put gravel in the front garden,No Maladministration,202
435,202323128,Sovereign Network Group,Housing Association,18 February 2026,Complaint Handling,The handling of the complaint,Service Failure,202
436,202444059,Basildon Borough Council,Local Authority / ALMO or TMO,17 February 2026,Complaint Handling,L andlord’s handling of reports of issues with external doors .,Maladministration,205
437,202444059,Basildon Borough Council,Local Authority / ALMO or TMO,17 February 2026,Complaint Handling,The handling of the complaint,No Maladministration,205
438,202518973,Housing For Women,Housing Association,17 February 2026,Complaint Handling,The landlord’s handling of the resident’s concerns about the scaffolding.,Maladministration,207
439,202518973,Housing For Women,Housing Association,17 February 2026,Anti-Social Behaviour (ASB),The landlord’s handling of the resident’s concerns about the letting of a neighbouring property and ASB .,No Maladministration,207
440,202518973,Housing For Women,Housing Association,17 February 2026,Complaint Handling,The handling of the complaint,Maladministration,207
441,202426405,Karibu Community Homes Limited,Housing Association,17 February 2026,Leaks & Water Ingress,Repairs following a leak and the associated offer of compensation,Maladministration,208
442,202426405,Karibu Community Homes Limited,Housing Association,17 February 2026,Complaint Handling,The handling of the complaint,Maladministration,208
443,202346774,London & Quadrant Housing Trust,Housing Association,17 February 2026,Repairs & Maintenance,C eiling repair,No Maladministration,209
444,202346774,London & Quadrant Housing Trust,Housing Association,17 February 2026,Complaint Handling,C omplaint handling,Service Failure,209
445,202424377,London Borough of Lambeth,Local Authority,17 February 2026,Estate Management,The handling of the resident’s reports of restricted access to her garden,Maladministration,211
446,202424377,London Borough of Lambeth,Local Authority,17 February 2026,Complaint Handling,The handling of the complaint,Maladministration,211
447,202433807,Magna Housing Limited,Housing Association,17 February 2026,Damp & Mould,The landlord’s handling of damp and mould and the associated repairs,Severe Maladministration,212
448,202433807,Magna Housing Limited,Housing Association,17 February 2026,Complaint Handling,The landlord’s handling of repairs to the windows,Maladministration,212
449,202433807,Magna Housing Limited,Housing Association,17 February 2026,Complaint Handling,The landlord’s handling of concerns about staff conduct,Outside Jurisdiction,212
450,202433807,Magna Housing Limited,Housing Association,17 February 2026,Complaint Handling,The handling of the complaint,Maladministration,212
451,202327137,Midland Heart Limited,Housing Association,17 February 2026,Leaks & Water Ingress,The landlord’s responses to the leak and follow on repairs.,Maladministration,213
452,202327137,Midland Heart Limited,Housing Association,17 February 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,213
453,202413821,Notting Hill Genesis,Housing Association,17 February 2026,Leaks & Water Ingress,"The landlord’s handling of r eports of leak s , a loss of heating and hot water, and associated repairs",Severe Maladministration,214
454,202413821,Notting Hill Genesis,Housing Association,17 February 2026,Complaint Handling,"The landlord’s handling of repairs to the windows, doors , and fencing",Maladministration,214
455,202413821,Notting Hill Genesis,Housing Association,17 February 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,214
456,202424907,One Housing Group Limited,Housing Association,17 February 2026,Complaint Handling,Handling of repairs to a security alarm,Maladministration,215
457,202424907,One Housing Group Limited,Housing Association,17 February 2026,Complaint Handling,Complaint handling,Maladministration,215
458,202218428,Royal Borough Of Greenwich,Local Authority / ALMO or TMO,17 February 2026,Anti-Social Behaviour (ASB),Noise/ASB reports,Maladministration,216
459,202218428,Royal Borough Of Greenwich,Local Authority / ALMO or TMO,17 February 2026,Complaint Handling,The handling of the complaint,Service Failure,216
460,202403106,Southwark Council,Local Authority / ALMO or TMO,17 February 2026,Other,The landlord’s h andling of the resident’s reports of cigarette smoke entering her bathroom,Service Failure,217
461,202403106,Southwark Council,Local Authority / ALMO or TMO,17 February 2026,Complaint Handling,The handling of the complaint,No Maladministration,217
462,202447598,The Guinness Partnership Limited,Housing Association,17 February 2026,Rent & Service Charges,Concerns regarding rent arrears and service charges,Reasonable Redress,218
463,202447598,The Guinness Partnership Limited,Housing Association,17 February 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,218
464,202445799,Torus62 Limited,Housing Association,17 February 2026,Damp & Mould,"The landlord’s handling of the resident’s reports of repairs at the property, including damp and mould",Reasonable Redress,219
465,202445799,Torus62 Limited,Housing Association,17 February 2026,Complaint Handling,The handling of the complaint,Service Failure,219
466,202421949,A2Dominion Housing Group Limited,Housing Association,16 February 2026,Other,T emporary accommodation move,Reasonable Redress,221
467,202421949,A2Dominion Housing Group Limited,Housing Association,16 February 2026,Complaint Handling,The handling of the complaint,Service Failure,221
468,202515950,Cornwall Housing Limited,Local Authority / ALMO or TMO,16 February 2026,Leaks & Water Ingress,The landlord’s handling of the resident’s reports of a leak,Maladministration,222
469,202515950,Cornwall Housing Limited,Local Authority / ALMO or TMO,16 February 2026,Pest Control,The landlord’s handling of the resident’s concerns about pest infestations,Maladministration,222
470,202515950,Cornwall Housing Limited,Local Authority / ALMO or TMO,16 February 2026,Damp & Mould,The landlord’s handling of the resident’s concerns about damp and mould,No Maladministration,222
471,202515950,Cornwall Housing Limited,Local Authority / ALMO or TMO,16 February 2026,Complaint Handling,The landlord’s handling of the resident’s concerns about flooring,No Maladministration,222
472,202515950,Cornwall Housing Limited,Local Authority / ALMO or TMO,16 February 2026,Complaint Handling,The landlord’s handling of the resident’s concerns about sewage /drains,No Maladministration,222
473,202515950,Cornwall Housing Limited,Local Authority / ALMO or TMO,16 February 2026,Complaint Handling,The handling of the complaint,No Maladministration,222
474,202418573,Eastbourne Borough Council,Local Authority / ALMO or TMO,16 February 2026,Complaint Handling,The landlord ’ s handling of the resident ’ s requests for external repairs,Service Failure,223
475,202418573,Eastbourne Borough Council,Local Authority / ALMO or TMO,16 February 2026,Complaint Handling,The handling of the complaint,Service Failure,223
476,202424550,Gateshead Metropolitan Borough Council,Local Authority / ALMO or TMO,16 February 2026,Repairs & Maintenance,Repairs to a leaking bay window,Maladministration,224
477,202424550,Gateshead Metropolitan Borough Council,Local Authority / ALMO or TMO,16 February 2026,Complaint Handling,The handling of the complaint,Maladministration,224
478,202341745,LiveWest Homes Limited,Housing Association,16 February 2026,Anti-Social Behaviour (ASB),The residents report of ASB .,No Maladministration,225
479,202341745,LiveWest Homes Limited,Housing Association,16 February 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,225
480,202423763,London & Quadrant Housing Trust,Housing Association,16 February 2026,Complaint Handling,The landlord’s handling of the resident’s reports of safety concerns at the property and a managed move,No Maladministration,226
481,202423763,London & Quadrant Housing Trust,Housing Association,16 February 2026,Other,The landlord’s communication about her request for a managed move,No Maladministration,226
482,202423763,London & Quadrant Housing Trust,Housing Association,16 February 2026,Complaint Handling,The landlord’s complaint handling,Maladministration,226
483,202520647,London Borough of Lambeth,Local Authority / ALMO or TMO,16 February 2026,Complaint Handling,The landlord’s handling of the resident’s c oncerns about the safety of the staircase and handrail,Maladministration,227
484,202520647,London Borough of Lambeth,Local Authority / ALMO or TMO,16 February 2026,Complaint Handling,The landlord’s handling of the resident’s r equest for a stair carpet,No Maladministration,227
485,202520647,London Borough of Lambeth,Local Authority / ALMO or TMO,16 February 2026,Complaint Handling,The landlord’s handling of the resident’s r eports of internal cracks,Maladministration,227
486,202520647,London Borough of Lambeth,Local Authority / ALMO or TMO,16 February 2026,Complaint Handling,The landlord’s complaint handling,Maladministration,227
487,202442163,London Borough of Lewisham,Local Authority / ALMO or TMO,16 February 2026,Damp & Mould,Damp and mould,Maladministration,228
488,202442163,London Borough of Lewisham,Local Authority / ALMO or TMO,16 February 2026,Complaint Handling,The handling of the complaint,Maladministration,228
489,202432792,Sheffield City Council,Local Authority,16 February 2026,Damp & Mould,The landlord’s response to the resident’s report of damp and mould,Maladministration,230
490,202432792,Sheffield City Council,Local Authority,16 February 2026,Complaint Handling,Complaint handling,Service Failure,230
491,202423371,Southern Housing,Housing Association,16 February 2026,Rent & Service Charges,Concerns about the standard and frequency of communal cleaning and the level of service charge.,Service Failure,231
492,202423371,Southern Housing,Housing Association,16 February 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,231
493,202527975,Southern Housing,Housing Association,16 February 2026,Other,G arage repairs,Outside Jurisdiction,232
494,202527975,Southern Housing,Housing Association,16 February 2026,Damp & Mould,R eports of damp and mould,Maladministration,232
495,202527975,Southern Housing,Housing Association,16 February 2026,Complaint Handling,The handling of the complaint,Service Failure,232
496,202527805,Sovereign Network Group,Housing Association,16 February 2026,Complaint Handling,The landlord’s response to the resident’s reports of repairs,Maladministration,233
497,202527805,Sovereign Network Group,Housing Association,16 February 2026,Other,,Service Failure,233
498,202400039,The Guinness Partnership Limited,Housing Association,16 February 2026,Damp & Mould,The landlord’s handling of d amp and mould .,Service Failure,234
499,202400039,The Guinness Partnership Limited,Housing Association,16 February 2026,Complaint Handling,The handling of the complaint,No Maladministration,234
500,202500826,The Riverside Group Limited,Housing Association,16 February 2026,Estate Management,The landlord’s response to the resident’s request to install a stairlift on the communal stairs.,Maladministration,235
501,202500826,The Riverside Group Limited,Housing Association,16 February 2026,Complaint Handling,The handling of the complaint,Service Failure,235
502,202421653,Vivid Housing Limited,Housing Association,16 February 2026,Other,Request for a kitchen replacement,Maladministration,236
503,202421653,Vivid Housing Limited,Housing Association,16 February 2026,Other,Reports about staff conduct,Reasonable Redress,236
504,202421653,Vivid Housing Limited,Housing Association,16 February 2026,Complaint Handling,The handling of the complaint,No Maladministration,236
505,202422774,Amplius Living,Housing Association,13 February 2026,Complaint Handling,The landlord’s response to the resident’s report of repairs required to the chimney and associated internal work,Maladministration,237
506,202422774,Amplius Living,Housing Association,13 February 2026,Other,,Reasonable Redress,237
507,202526561,Birmingham City Council,Local Authority,13 February 2026,Pest Control,Landlord’s handling of a pest infestation,Maladministration,238
508,202526561,Birmingham City Council,Local Authority,13 February 2026,Complaint Handling,The handling of the complaint,Service Failure,238
509,202416534,Clarion Housing Association Limited,Housing Association,13 February 2026,Repairs & Maintenance,The landlord’s handling of reports about the heating system,Service Failure,239
510,202416534,Clarion Housing Association Limited,Housing Association,13 February 2026,Complaint Handling,The landlord’s handling of the complaint,Service Failure,239
511,202506127,Home Group Limited,Housing Association,13 February 2026,Other,Report of various repairs,Maladministration,241
512,202506127,Home Group Limited,Housing Association,13 February 2026,Repairs & Maintenance,Report s to repair the external doors of the property,No Maladministration,241
513,202506127,Home Group Limited,Housing Association,13 February 2026,Leaks & Water Ingress,Report of a gas leak,Reasonable Redress,241
514,202506127,Home Group Limited,Housing Association,13 February 2026,Complaint Handling,The handling of the complaint,Service Failure,241
515,202230509,London & Quadrant Housing Trust,Housing Association,13 February 2026,Damp & Mould,Reports of damp and mould,Maladministration,242
516,202230509,London & Quadrant Housing Trust,Housing Association,13 February 2026,Complaint Handling,The complaint,Reasonable Redress,242
517,202407303,London & Quadrant Housing Trust,Housing Association,13 February 2026,Complaint Handling,The landlord’s handling of the resident’s reports of a defective bath-shower.,Maladministration,243
518,202407303,London & Quadrant Housing Trust,Housing Association,13 February 2026,Complaint Handling,The handling of the complaint .,Service Failure,243
519,202516407,London Borough of Ealing,Local Authority / ALMO or TMO,13 February 2026,Complaint Handling,The landlord’s response to the resident’s reports of leaks from the flat above and the soil pipe,Maladministration,245
520,202516407,London Borough of Ealing,Local Authority / ALMO or TMO,13 February 2026,Complaint Handling,handling,No Maladministration,245
521,202412905,London Borough of Islington,Local Authority / ALMO or TMO,13 February 2026,Other,The condition of the property upon letting and the subsequent repairs.,Service Failure,247
522,202412905,London Borough of Islington,Local Authority / ALMO or TMO,13 February 2026,Other,Staff conduct,Service Failure,247
523,202412905,London Borough of Islington,Local Authority / ALMO or TMO,13 February 2026,Anti-Social Behaviour (ASB),ASB,Maladministration,247
524,202412905,London Borough of Islington,Local Authority / ALMO or TMO,13 February 2026,Complaint Handling,The handling of the complaint,Maladministration,247
525,202514083,Notting Hill Genesis,Housing Association,13 February 2026,Rehousing & Allocations,The landlord’s handling of the resident’s rehousing request,Service Failure,249
526,202514083,Notting Hill Genesis,Housing Association,13 February 2026,Complaint Handling,The landlord’s complaint handling,Reasonable Redress,249
527,202442428,Orbit Group Limited,Housing Association,13 February 2026,Other,Reports of leaks,Service Failure,250
528,202442428,Orbit Group Limited,Housing Association,13 February 2026,Complaint Handling,The handling of the complaint,Service Failure,250
529,202325516,Peabody Trust,Housing Association,13 February 2026,Anti-Social Behaviour (ASB),The response to the resident’s concerns about ASB allegations made against her,Maladministration,251
530,202325516,Peabody Trust,Housing Association,13 February 2026,Complaint Handling,The handling of the complaint,Reasonable Redress,251
531,202500289,Plus Dane Housing Limited,Housing Association,13 February 2026,Damp & Mould,The landlord’s response to the resident’s reports of leaks from the roof and guttering and associated damp and mould in the property,Maladministration,253
532,202500289,Plus Dane Housing Limited,Housing Association,13 February 2026,Estate Management,The landlord’s response to the resident’s reports of repairs required to the fence panels in the garden,Maladministration,253
533,202500289,Plus Dane Housing Limited,Housing Association,13 February 2026,Complaint Handling,The landlord’s response to the associated complaints,Maladministration,253
534,202404580,Royal Borough Of Greenwich,Local Authority / ALMO or TMO,13 February 2026,Other,Concerns regarding the condition of the kitchen.,No Maladministration,255
535,202404580,Royal Borough Of Greenwich,Local Authority / ALMO or TMO,13 February 2026,Damp & Mould,Reports of damp and mould,No Maladministration,255
536,202404580,Royal Borough Of Greenwich,Local Authority / ALMO or TMO,13 February 2026,Complaint Handling,The handling of the complaint,Service Failure,255
537,202516965,Sanctuary Housing Association,Housing Association,13 February 2026,Complaint Handling,The landlord’s handling of repairs,Maladministration,256
538,202516965,Sanctuary Housing Association,Housing Association,13 February 2026,Complaint Handling,The handling of the complaint,Service Failure,256
539,202418537,Sandwell Metropolitan Borough Council,Local Authority / ALMO or TMO,13 February 2026,Estate Management,Landlord’s handling of repairs to the communal area ’s flooring and skirting,Service Failure,257
540,202418537,Sandwell Metropolitan Borough Council,Local Authority / ALMO or TMO,13 February 2026,Complaint Handling,The handling of the complaint,No Maladministration,257
541,202425538,Stonewater Limited,Housing Association,13 February 2026,Complaint Handling,Handling of r epairs,Service Failure,258
542,202425538,Stonewater Limited,Housing Association,13 February 2026,Complaint Handling,Handling of the resident’s temporary accommodation,Reasonable Redress,258
543,202422870,The Riverside Group Limited,Housing Association,13 February 2026,Damp & Mould,The landlord’s response to t he resident’s report of a leaking pipe in the bathroom requiring an asbestos survey and associated damp and mould,Maladministration,259
544,202422870,The Riverside Group Limited,Housing Association,13 February 2026,Other,,No Maladministration,259
545,202522934,Your Housing Group Limited,Housing Association,13 February 2026,Damp & Mould,The landlord’s handling of reports of damp and mould,Reasonable Redress,260
546,202522934,Your Housing Group Limited,Housing Association,13 February 2026,Complaint Handling,The landlord’s handling of repairs to the garage,Reasonable Redress,260
547,202522934,Your Housing Group Limited,Housing Association,13 February 2026,Complaint Handling,"The landlord’s handling of a request to compensate for, and replace, damaged items.",Maladministration,260
548,202522934,Your Housing Group Limited,Housing Association,13 February 2026,Complaint Handling,The landlord’s handling of the complaint,Service Failure,260
549,202431979,Abri Group Limited,Housing Association,12 February 2026,Leaks & Water Ingress,The resident’s compensation request for increased water bills,Service Failure,261
550,202431979,Abri Group Limited,Housing Association,12 February 2026,Complaint Handling,The handling of the complaint,No Maladministration,261
551,202526571,Amplius Living,Housing Association,12 February 2026,Damp & Mould,"O utstanding external repairs , and damp and mould",Service Failure,262
552,202526571,Amplius Living,Housing Association,12 February 2026,Complaint Handling,The handling of the complaint,Service Failure,262
553,202444007,Birmingham City Council,Local Authority / ALMO or TMO,12 February 2026,Damp & Mould,The resident’s reports of damp and moul d,Maladministration,263
554,202444007,Birmingham City Council,Local Authority / ALMO or TMO,12 February 2026,Complaint Handling,The handling of the complaint,Maladministration,263
555,202403156,London & Quadrant Housing Trust,Housing Association,12 February 2026,Anti-Social Behaviour (ASB),The landlord’s handling of the resident’s reports of noise nuisance from the upstairs flat.,Reasonable Redress,264
556,202403156,London & Quadrant Housing Trust,Housing Association,12 February 2026,Complaint Handling,The landlord’s handling of the associated complaint.,Reasonable Redress,264
557,202431536,London & Quadrant Housing Trust,Housing Association,12 February 2026,Leaks & Water Ingress,The landlord’s handling of a roof leak,Maladministration,265
558,202431536,London & Quadrant Housing Trust,Housing Association,12 February 2026,Complaint Handling,The handling of the complaint,No Maladministration,265
559,202416544,London Borough of Croydon,Local Authority / ALMO or TMO,12 February 2026,Anti-Social Behaviour (ASB),The landlord’s handling of the resident’s reports of ASB,Maladministration,266
560,202416544,London Borough of Croydon,Local Authority / ALMO or TMO,12 February 2026,Complaint Handling,The handling of the complaint,Service Failure,266
561,202507065,Places for People Group Limited,Housing Association,12 February 2026,Complaint Handling,The landlord’s handling of repairs,Maladministration,269
562,202507065,Places for People Group Limited,Housing Association,12 February 2026,Complaint Handling,The handling of the complaint,Service Failure,269
563,202401004,Sanctuary Housing Association,Housing Association,12 February 2026,Complaint Handling,The landlord’s handling of the resident’s paving repairs to the rear patio,Maladministration,270
564,202401004,Sanctuary Housing Association,Housing Association,12 February 2026,Complaint Handling,The landlord’s complaint handling,Reasonable Redress,270
565,202341125,Sovereign Network Group,Housing Association,12 February 2026,Other,Service charges,No Maladministration,271
566,202341125,Sovereign Network Group,Housing Association,12 February 2026,Other,Car park lighting,Service Failure,271
567,202341125,Sovereign Network Group,Housing Association,12 February 2026,Complaint Handling,Complaint handling,Service Failure,271
